Step	Loss	MSE	Entropy
1	688.46728515625	0.11824819445610046	-2524.9833984375
2	614.8507690429688	0.10749819129705429	-206.21852111816406
3	548.1591186523438	0.09776071459054947	-203.163330078125
4	487.3188781738281	0.08887819200754166	-202.89820861816406
5	431.6905517578125	0.08075634390115738	-204.9642333984375
6	381.0721740722656	0.07336461544036865	-208.64764404296875
7	335.5728759765625	0.06671838462352753	-213.41543579101562
8	295.5453796386719	0.0608685165643692	-218.68536376953125
9	261.5214538574219	0.055891722440719604	-223.69796752929688
10	234.11492919921875	0.05187615379691124	-227.46640014648438
11	213.8737335205078	0.048899732530117035	-228.72349548339844
12	201.0771484375	0.04700089991092682	-225.9268341064453
13	195.49436950683594	0.04614412412047386	-217.33828735351562
14	196.15415954589844	0.04618692770600319	-201.24658203125
15	201.2495574951172	0.04686618596315384	-176.5596923828125
16	208.3617706298828	0.04783067852258682	-143.79388427734375
17	215.05654907226562	0.048727668821811676	-105.63610076904297
18	219.53709411621094	0.049297500401735306	-65.9710922241211
19	220.94639587402344	0.04941742122173309	-28.211288452148438
20	219.2769012451172	0.04908827692270279	5.480073928833008
21	215.09706115722656	0.048394717276096344	34.03000259399414
22	209.26736450195312	0.04746365547180176	57.03685760498047
23	202.7136993408203	0.04643114656209946	74.45803833007812
24	196.2666473388672	0.045418791472911835	86.45313262939453
25	190.5612030029297	0.044519051909446716	93.32536315917969
26	185.9889678955078	0.04378826171159744	95.50460815429688
27	182.6950225830078	0.043246179819107056	93.53546905517578
28	180.61048889160156	0.04288088157773018	88.0545425415039
29	179.50856018066406	0.042657021433115005	79.75425720214844
30	179.07012939453125	0.04252562299370766	69.3398666381836
31	178.9471435546875	0.04243343695998192	57.48765563964844
32	178.8147430419922	0.04233071208000183	44.81330871582031
33	178.40724182128906	0.042176567018032074	31.852664947509766
34	177.53799438476562	0.04194188863039017	19.055505752563477
35	176.1046905517578	0.041610218584537506	6.789348125457764
36	174.0840606689453	0.04117690771818161	-4.648728847503662
37	171.51864624023438	0.04064726084470749	-15.016297340393066
38	168.4996795654297	0.040033962577581406	-24.109031677246094
39	165.14736938476562	0.039354175329208374	-31.746736526489258
40	161.5906524658203	0.03862658143043518	-37.76396560668945
41	157.94712829589844	0.037868376821279526	-42.00767517089844
42	154.30563354492188	0.037092626094818115	-44.34166717529297
43	150.71188354492188	0.03630608320236206	-44.660545349121094
44	147.1604766845703	0.03550790250301361	-42.9144287109375
45	143.59503173828125	0.034689582884311676	-39.1439094543457
46	139.9184112548828	0.03383633866906166	-33.50662612915039
47	136.01077270507812	0.03292976692318916	-26.275453567504883
48	131.7519073486328	0.03195100277662277	-17.812297821044922
49	127.04212951660156	0.030883807688951492	-8.535591125488281
50	121.8180160522461	0.029716864228248596	1.114048719406128
51	116.0601577758789	0.028444936498999596	10.70639419555664
52	109.79244232177734	0.027068886905908585	19.84966468811035
53	103.07496643066406	0.025594718754291534	28.208951950073242
54	95.99320983886719	0.024032222107052803	35.51245880126953
55	88.64690399169922	0.022393688559532166	41.54389953613281
56	81.14141082763672	0.020693175494670868	46.122013092041016
57	73.5831527709961	0.018946804106235504	49.06700134277344
58	66.07920837402344	0.017173994332551956	50.1490364074707
59	58.737525939941406	0.015398952178657055	49.02085494995117
60	51.66304016113281	0.013651469722390175	45.17359924316406
61	44.948211669921875	0.011966442689299583	37.984657287597656
62	38.66413116455078	0.010382004082202911	26.92537498474121
63	32.86716079711914	0.008937245234847069	11.95581340789795
64	27.63201141357422	0.007671144790947437	-6.06649112701416
65	23.09343147277832	0.0066218869760632515	-25.315210342407227
66	19.451210021972656	0.005822491366416216	-43.3226318359375
67	16.90700912475586	0.005289948079735041	-57.42546463012695
68	15.54633617401123	0.005010579247027636	-65.22702026367188
69	15.230213165283203	0.004930842202156782	-65.20481872558594
70	15.581259727478027	0.004963682498782873	-57.24806213378906
71	16.089813232421875	0.005010164342820644	-42.70254898071289
72	16.285762786865234	0.0049865832552313805	-24.06277084350586
73	15.887795448303223	0.004845193587243557	-4.4539079666137695
74	14.856768608093262	0.0045798164792358875	13.037848472595215
75	13.341371536254883	0.004216009750962257	25.92886734008789
76	11.566598892211914	0.0037935448344796896	32.69350814819336
77	9.735021591186523	0.0033512574154883623	33.00931930541992
78	7.987268924713135	0.002920598490163684	27.87354278564453
79	6.418931007385254	0.0025269256439059973	19.378986358642578
